Région,Sexe,Période,ICD-10,Type cancer,Nombre de cas ,Taux brut , Taux standardisé ,lower 95% ,upper IC 95%
Suisse,Hommes,1990,C00-14,Cavité buccale et pharynx,654,19.9,20,18,22.2
Suisse,Hommes,1990,C15,Œsophage,282,8.6,8.5,7.2,10
Suisse,Hommes,1990,C16,Estomac,678,20.7,19.6,17.6,21.8
Suisse,Hommes,1990,C17,Intestin grêle,75,2.3,2.2,1.6,3
Suisse,Hommes,1990,C18-20,Côlon et Rectum,1612,49.2,46.7,43.5,50
Suisse,Hommes,1990,C21,Anus et Canal anal,40,1.2,1.2,0.8,1.8
Suisse,Hommes,1990,C22,Foie,320,9.8,9.4,8,10.9
Suisse,Hommes,1990,C23-24,Vésicule et voies biliaires extra-hépat.,110,3.3,3.3,2.5,4.2
Suisse,Hommes,1990,C25,Pancréas,409,12.5,12,10.4,13.7
Suisse,Hommes,1990,C32,Larynx,213,6.5,6.6,5.4,8
Suisse,Hommes,1990,C33-34,"Poumon, Bronches, Trachée",2438,74.4,72.8,68.8,77
Suisse,Hommes,1990,"C38.4,C45.0",Plèvre,82,2.5,2.5,1.8,3.3
Suisse,Hommes,1990,C40-41,"Os, Articulations, Cartilage",47,1.4,1.4,0.9,2.1
Suisse,Hommes,1990,C43,Mélanome,509,15.5,15.3,13.4,17.2
Suisse,Hommes,1990,"C47,C49",Tissus mous,86,2.6,2.5,1.8,3.3
Suisse,Hommes,1990,C50,Sein,22,0.7,0.7,0.3,1.1
Suisse,Hommes,1990,C61,Prostate,3086,94.1,87.4,83,91.9
Suisse,Hommes,1990,C62,Testicule,353,10.8,9.8,8.4,11.3
Suisse,Hommes,1990,C64,Rein,429,13.1,12.6,11,14.4
Suisse,Hommes,1990,C67,Vessie,797,24.3,23,20.8,25.3
Suisse,Hommes,1990,"C65-66,C68",Autres organes urinaires,95,2.9,2.6,1.9,3.5
Suisse,Hommes,1990,C69,Œil,30,0.9,1,0.5,1.6
Suisse,Hommes,1990,C70-72,Cerveau et Système nerveux central,251,7.7,7.6,6.3,9.1
Suisse,Hommes,1990,C73,Thyroïde,88,2.7,2.6,1.9,3.5
Suisse,Hommes,1990,C81,Lymphome de Hodgkin,94,2.9,2.7,2,3.6
Suisse,Hommes,1990,"C82-86,C96",Lymphome non hodgkinien,568,17.3,16.7,14.9,18.8
Suisse,Hommes,1990,C90,Myélome multiple,171,5.2,5,4,6.2
Suisse,Hommes,1990,C91-95,Leucémie,450,13.7,13.4,11.7,15.2
Suisse,Hommes,1990,C91,Leucémie lymphoïde,253,7.7,7.5,6.3,9
Suisse,Hommes,1990,C92-94,Leucémie myéloïde,182,5.5,5.3,4.3,6.5
Suisse,Hommes,1990,Other_C-code,Autres localisations du cancer,679,20.7,20.2,18.2,22.5
Suisse,Hommes,1990,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),14668,447.5,429.2,419.5,439.1
Suisse,Hommes,1991,C00-14,Cavité buccale et pharynx,689,20.8,21,18.9,23.3
Suisse,Hommes,1991,C15,Œsophage,231,7,6.8,5.7,8.1
Suisse,Hommes,1991,C16,Estomac,644,19.4,18.6,16.6,20.8
Suisse,Hommes,1991,C17,Intestin grêle,84,2.5,2.5,1.8,3.3
Suisse,Hommes,1991,C18-20,Côlon et Rectum,1788,53.9,51.4,48.1,54.9
Suisse,Hommes,1991,C21,Anus et Canal anal,38,1.2,1.1,0.7,1.7
Suisse,Hommes,1991,C22,Foie,344,10.4,10,8.6,11.6
Suisse,Hommes,1991,C23-24,Vésicule et voies biliaires extra-hépat.,111,3.4,3.1,2.4,4.1
Suisse,Hommes,1991,C25,Pancréas,398,12,11.5,10,13.2
Suisse,Hommes,1991,C32,Larynx,224,6.8,6.9,5.7,8.3
Suisse,Hommes,1991,C33-34,"Poumon, Bronches, Trachée",2433,73.3,72.1,68.2,76.2
Suisse,Hommes,1991,"C38.4,C45.0",Plèvre,76,2.3,2.3,1.6,3.1
Suisse,Hommes,1991,C40-41,"Os, Articulations, Cartilage",28,0.8,0.8,0.5,1.4
Suisse,Hommes,1991,C43,Mélanome,546,16.5,16.1,14.2,18.1
